comment    like                        nick     postTime  reply  unlike                                user_url
   有没有人发现，每次有路人走过，大多数是少年少女男孩女孩一起走的，作者对青梅竹马的热爱如此之深     2.0        腾讯用户1470074242539118  2016年08月09日    NaN     NaN  http://i.youku.com/i/UMzg1NjM5OTA0NA==
虽然我们明明知道新兰是官配，但依然无法控制地喜欢上了哀殿，而且新兰和柯哀又不冲突，新一和柯南...     3.0                   LUMPYYYYY  2016年08月06日    NaN     3.0  http://i.youku.com/i/UMzc4MTI3OTIwOA==
             新兰王道，柯哀亡道，支持灰原的都是心术不正之人。灰原是小三，就这么简单。     3.0        微信用户1467967827626983  2016年07月15日    (1)     2.0  http://i.youku.com/i/UMzc4NDA5NDU0NA==
有病！法律有过失杀人罪知不知道，犯了错就要接受惩罚，少圣母了一个好人不小心把你杀死了你和你家...     3.0          微信用户14653214866927  2016年06月27日    NaN     NaN  http://i.youku.com/i/UMzcwOTE0ODExNg==
 毛利最后靠她父亲的名片确定位置，父女连心多么奇妙！毛利小五郎就这样救了他的女儿，真令人啧啧称奇！     4.0                         闭轩朗  2015年10月15日    NaN     NaN  http://i.youku.com/i/UMzIzOTU2MzE4OA==
小兰是个好女孩，新一离开她那么久，就是想新一她也没有抱怨说等不下去，没有在别人面前大哭，只是...     4.0             IMCRAZY36882373  2015年10月05日    (1)     NaN  http://i.youku.com/i/UMjkwMDgwNjgwOA==
                   新兰，是新一和毛利兰 柯哀，是柯南和灰原哀 这有什么冲突吗？     3.0        优酷用户1475649569355630  2017年10月03日    (1)     5.0  http://i.youku.com/i/UNDAzNzkzODUyMA==
好，评论看到一个:“柯哀万岁，小兰去死”。虽然同为柯哀党，但我一样反对他，以及评论里看到很多...     4.0             yoooong57888603  2015年08月12日    NaN     NaN  http://i.youku.com/i/UMTcyMjcxMTE4MA==
                     前面对军事迷来说还过得去，后面的推理好敷衍救兰那段好菜啊     1.0                      飞弧夕阳西下  2017年08月02日    NaN     NaN  http://i.youku.com/i/UMTQ0MTE5MDg2OA==
难道没看出来这一部剧场版完全是日本在炫耀自己军事技术啊，感觉某国就是说的我们中国，我想问日本...     1.0                    StAr丶ZJK  2013年12月18日    (4)     1.0      http://i.youku.com/i/UNjI1NTYwMzcy
这三个小孩遇见工藤新一真是幸运，学会了做人的道理；学会各种猜谜；上过军舰，空中飞艇；参加过各...     2.0                   xuan52wen  2015年12月14日    NaN     NaN      http://i.youku.com/i/UNTk5Mjc3MTg0
