comment    like                          nick     postTime  reply  unlike                                user_url
作者是彭杰老师 台湾漫画家 也是我非常喜欢的一位漫画家 从漫画show上认识 本作原作漫画在...     1.0          梧桐落雨1483461738521271  2017年07月08日    NaN     NaN  http://i.youku.com/i/UNDMzMTQ4ODk0MA==
《时间支配者》是中国台湾漫画家彭杰创作的漫画。作品连载于《漫画行》杂志和JUMP+电子平台，...     NaN                     onemou233  2017年07月08日    NaN     NaN  http://i.youku.com/i/UNDM2NjI5MTk5Ng==
《时间支配者》是中国台湾漫画家彭杰创作的漫画。作品连载于《漫画行》杂志和JUMP+电子平台，...     NaN                     onemou233  2017年07月08日    NaN     NaN  http://i.youku.com/i/UNDM2NjI5MTk5Ng==
                        雾草居然不是动态漫画了，妈耶惊了，为国漫打call     NaN                           兰秋凡  2017年12月24日    NaN     NaN  http://i.youku.com/i/UMTQ4OTEzODYwMA==
就我觉得这动漫画是中国画滴 但制作动作上是日本做的，我们这边做动作上都是缺帧数滴缺帧数就没这么流畅     1.0               支付宝用户6281239125  2018年03月05日    NaN     NaN  http://i.youku.com/i/UNDEzNDA2NTIzNg==
之前也是看过动态漫画的，也不错的，没想到竟然出动漫了，太意外了，本来是来看镇魂街的，没想到发...     NaN                淘宝用户7621200418  2017年08月03日    NaN     NaN  http://i.youku.com/i/UNDY2NTA4NzAyNA==
不是国漫，作者是台湾人，原作漫画同时连载于jump和有妖气，制作是日本公司，有优酷的投资，就是这样     NaN                        HLALAS  2017年07月08日    NaN     NaN  http://i.youku.com/i/UMzE1NjI1NzQwNA==
谁不想国产。国内技术可以办到。但是谁投资？一集的钱有谁知道多少？不懂行就不要乱说。不是不做是...     2.0          腾讯用户1474445991512581  2017年10月20日    NaN     NaN  http://i.youku.com/i/UNDAwODU5NTE0OA==
哎呀呀，喷啥呢，就说做的好不好呗，好就得了呗，人家买了版权就是人家的，就是个买卖咋了呢。作者...     9.0                        前辈是小周哒  2017年08月22日    NaN     1.0  http://i.youku.com/i/UMzI2MDc3NjQ5Mg==
                 别纠结是不是国漫了，作者是台湾漫画家，漫画在日本少年周刊上连载了     2.0                    韩流69530456  2017年07月12日    NaN     NaN  http://i.youku.com/i/UMTc1NDU3OTg2NA==
看个动漫哪有那么多言论。。。日本制作又怎么了。。。都是出于对动漫的热爱啊，哪有某些人想的那么...     5.0          腾讯用户1502515558516679  2017年08月12日    NaN     NaN  http://i.youku.com/i/UNDg5NTU5OTQ1Mg==
噢噢噢噢噢噢噢噢噢噢噢啦啦啦啦啦啦噜 uuuuu 就斤斤计较斤斤计较斤斤计较斤斤计较斤斤计较...     1.0                微信用户8050618205  2017年09月14日    NaN     2.0  http://i.youku.com/i/UNDcxMjcxMjI4MA==
                 说好的国·漫呢，以前追了很久了，这就变成·日漫·了?狗血，不追了    19.0                  沉着冷静70837552  2017年07月21日    NaN     4.0  http://i.youku.com/i/UMjk2MjgzODk0MA==
                  别把这个放在国漫里.尼玛你改说日语了.你被狗日了呀，国漫说日语     4.0                         奔跑吧曾孙  2017年07月28日    NaN     8.0  http://i.youku.com/i/UNDE0MDE3MjY0NA==
      这字幕谁写的完全就是按照漫画的抄的吧完全不按声优对话来显示根本不是一个意思强行漫画对话     NaN                        翻云浪234  2017年07月08日    NaN     NaN  http://i.youku.com/i/UMTU2OTIzMjc5Ng==
                    是国漫，只不过是日语配音，一直在翻漫画上更新，是国产漫画！     3.0                    LeoWeekend  2017年07月13日    NaN     NaN  http://i.youku.com/i/UMTcyMDE4MzM5Ng==
                 现在国漫中文配音真心不比日本声差，好的配音演员的话，为啥没有中文     3.0                 Fuckmydestiny  2017年07月23日    (5)     NaN  http://i.youku.com/i/UMTQzODY0NTI3Ng==
                  这是日本为了符合国情特意做了15分钟是吗？难道就没有国语配音？    10.0                      指尖微凉半世飘摇  2017年07月16日    NaN     5.0  http://i.youku.com/i/UMTQyNzE2NTU3Ng==
                              石田雨龙你不在死神世界混怎么跑这里来了     9.0                           滅丗雨  2017年07月08日    NaN     NaN  http://i.youku.com/i/UMzM5NTM0MzI3Mg==
                         国漫栏里出现的这个，点开一听是日语。尴尬癌都犯了     NaN        jiajia1490624185712736  2017年12月28日    NaN     NaN  http://i.youku.com/i/UNDUxOTc1MDM0MA==
这个动画原来不是出过么 只不过不是这样制作好的动画版 那个玩扑克牌的其实是戴眼镜的爸爸是吧！...     2.0                优酷用户6342362022  2017年07月08日    (1)     NaN  http://i.youku.com/i/UNDY5MDAyNDc4MA==
   不要吐槽了，喜欢就看！不喜欢就走！看起弹幕就累！建议关闭弹幕！毕竟好与不好！都是别人的心血！     7.0                   段太太31429628  2017年07月08日    NaN     4.0  http://i.youku.com/i/UMTkzMTMyMzgwMA==
