comment   like                          nick     postTime reply  unlike                                user_url
奉劝刚看的朋友别看了，越往后看越毁你对拳皇的回忆。曾经的拳皇迷很负责的告诉即将要看的朋友，两...    2.0                     FeelGooD成  2018年01月19日   NaN     NaN      http://i.youku.com/i/UMzg1MTc2NTE2
                按照日漫一贯的画风就很好啊，为啥要搞成这样的画风。。哎，勉强看吧。    2.0                      秦志波Obito  2017年08月04日   (2)     NaN  http://i.youku.com/i/UMTcxMTg3MTcwMA==
                   有点毁。。它仅在大陆播是有原因的。。。原产地的粉丝看到会疯的    7.0                土豆用户_471765763  2017年08月23日   (2)     4.0  http://i.youku.com/i/UMTg4NzA2MzA1Mg==
                     太短了，比火影龙珠还短。握草，不剩出成电影一下子演完得了    NaN                微信用户5443846101  2017年08月03日   NaN     NaN  http://i.youku.com/i/UNDQ2MDIyNzYwOA==
国产的动画，加了个日本主题曲，鉴定完毕。而且应该是国内比较大的制作公司做的，因为只有他们非常...    3.0         支付宝用户1468668405499667  2017年09月04日   NaN     1.0  http://i.youku.com/i/UMzgwNDc4NTk1Mg==
等了多少年，终于有动漫了，我已经30岁来了，情怀啊，以前小学的钱绝大部分都给了机铺老板，到了...    NaN                       Jason小伍  2018年01月19日   NaN     NaN  http://i.youku.com/i/UMzI5MzU3NTAyNA==
                        这有版权吗？为什么中文仅限大陆地区，片头曲又是日语    1.0                   Snipe丶Rider  2017年08月28日   (2)     2.0  http://i.youku.com/i/UMTI4MDM2MTgyMA==
      写的是95拳皇。下次是96吗？为什么最后草薙京穿的衣服是拳皇14的衣服？官方给个答案啊    1.0                        三国杀龙吟浪  2018年01月11日   NaN     NaN  http://i.youku.com/i/UMTI5NTI0MjA5Ng==
                  看到草薙和他爸用筷子抢丸子就知道是国内制作的了～很足的国产味～    1.0                           荒川星  2017年08月17日   (3)     NaN      http://i.youku.com/i/UNTA2MjI2MjEy
               第一泰利安迪哪里是八极拳呀，还有草雉一家与二阶堂红丸关系不太好好吧。    1.0                         福禄金刚蛋  2017年08月15日   NaN     NaN  http://i.youku.com/i/UMzE3NTgxMDMxMg==
其实如果不以人物建模为主，这部动漫剧情和特效，还是可以，比同类动漫效果好一些，也自然！要求像...    2.0                          MK欧皇  2017年08月13日   NaN     NaN  http://i.youku.com/i/UNDY1MzQ3MDcwMA==
                              熊出没画质的既视感实在对不起日漫的威名    NaN         支付宝用户1478005359434108  2017年12月14日   NaN     NaN  http://i.youku.com/i/UNDEwODcxNTU1Mg==
            唉 剧情悲哀。人物想吐。浪费题材了。看到现在全是因为97可我想吐良太面太丑    NaN                优酷用户5064562724  2017年11月13日   NaN     NaN  http://i.youku.com/i/UNDYyMDU0Mjg3Ng==
