comment    like                                  nick     postTime  reply  unlike                                user_url
我就说我开始的回忆，把侠岚还给我，你们不能忘本，就算你们3年才更新我依然陪着你们，但是不能毁...     1.0                                 葬念若见花  2018年03月02日    NaN     NaN  http://i.youku.com/i/UNTU1MjYwMTYyOA==
因为《侠岚》知道了若森科技，因为若森去追了《不良人》《灵主》和《杯莫停》，出一部追一部，但是...     6.0                                 汲绯红女巫  2017年11月09日    NaN     NaN  http://i.youku.com/i/UNDg0MDE2MTM1Ng==
我觉得若森的动漫已经非常不错了，故事情节，人物设定都很完整，而且最初几部都是以中国传统文化作...     4.0                                 阿叨123  2017年12月13日    NaN     NaN  http://i.youku.com/i/UNTI4Mzg1NjA0OA==
看到二爷杀敌的霸气傲然的姿态，令我热血沸腾，他有着其他系列角色的霸气和傲气之风，视理为浮云我...     6.0                  腾讯用户1504535201712767  2017年09月23日    NaN    11.0  http://i.youku.com/i/UNDk3MTIzMTQ2NA==
谁能回答我，为什么非得要有结局 要有主角，主角还不能死。 接受能力和理解能力能不能有点深度啊...     NaN                  微信用户1517122106866244  2018年02月24日    NaN     NaN  http://i.youku.com/i/UNTU1OTk0NTc2MA==
画江湖系列做的越来越差了！不想干了就直说啊！情节非常不满！这是自己砸自己的脚啊！前几部做的非...     5.0                  alwaysonline30359158  2017年11月03日    NaN     1.0  http://i.youku.com/i/UMTQzMjQxMjAxNg==
   若森还没倒闭啊？动画越做越商业化，早已不是最初的良心之作了，竟然又出新片了？不良人结尾出了吗     3.0                             菲零映画-订制影像  2017年12月25日    NaN     1.0      http://i.youku.com/i/UMTI5NDY5NzQw
                若森动漫，玄机科技，柏言映画，霹雳布袋戏，这么多国漫，慢慢追美滋滋     1.0                                慕丶流苏晚晴  2018年01月18日    NaN     NaN  http://i.youku.com/i/UNDA2NzcyNDgyOA==
画江湖之不良人的历史改编 画江湖之灵主的妖魔鬼怪 画江湖之杯莫停的江湖恩怨 画江湖之换世门生...     6.0                                  尼丶巴巴  2017年09月15日    NaN     2.0  http://i.youku.com/i/UMTMzMzg3ODc0MA==
真是够垃圾的。画江湖除了灵主以外全部都是垃圾。没结局。不良人我全看完了评价3颗星。绝世重生我...     1.0                       我爱你一生无悔44431750  2018年02月18日    NaN     4.0  http://i.youku.com/i/UMzA1MzMyMTY4NA==
看若森的动画也有几年了，有很多好地方，但也有瑕疵，首先是动画的画面问题，相比较于国内其他动画...     2.0                                  蠢兔毛毛  2018年01月11日    NaN     NaN  http://i.youku.com/i/UMzIxNzA2NDA3Ng==
哎！不追咯！这样的剧情哥们我心脏受不了！弃坑之前 猜一下后面的剧情，小乞丐和小混混结婚被乱枪...     3.0                  腾讯用户1512231138626342  2017年12月03日    NaN     NaN  http://i.youku.com/i/UNTM5MjY1MDg1Ng==
